id	ten	tac_gia	license	dai_giay	dinh_dang	tu_khoa	cach_lay
467291	Sword Unsheathed.wav	XfiXy8	http://creativecommons.org/publicdomain/zero/1.0/	3.0	wav	sword	https://freesound.org/s/467291/
464439	S23_Sword_Strike_3.wav	kaygrum	http://creativecommons.org/publicdomain/zero/1.0/	1.2	wav	sword	https://freesound.org/s/464439/
464438	S21_Sword_Strike_1.wav	kaygrum	http://creativecommons.org/publicdomain/zero/1.0/	0.6	wav	sword	https://freesound.org/s/464438/
464437	S22_Sword_Strike_2.wav	kaygrum	http://creativecommons.org/publicdomain/zero/1.0/	0.8	wav	sword	https://freesound.org/s/464437/
464436	S19_Sword_Draw_1.wav	kaygrum	http://creativecommons.org/publicdomain/zero/1.0/	1.1	wav	sword	https://freesound.org/s/464436/
464435	S20_Sword_Draw_2.wav	kaygrum	http://creativecommons.org/publicdomain/zero/1.0/	2.0	wav	sword	https://freesound.org/s/464435/
684748	Drawing Sword Sound 02	Robhog	http://creativecommons.org/publicdomain/zero/1.0/	0.3	wav	sword	https://freesound.org/s/684748/
684747	Drawing Sword Sound 01	Robhog	http://creativecommons.org/publicdomain/zero/1.0/	0.3	wav	sword	https://freesound.org/s/684747/
591432	Laser Sword Turn Off 2.mp3	RyanKingArt	http://creativecommons.org/publicdomain/zero/1.0/	2.2	mp3	sword	https://freesound.org/s/591432/
591431	Laser Sword Turn On 1.mp3	RyanKingArt	http://creativecommons.org/publicdomain/zero/1.0/	2.5	mp3	sword	https://freesound.org/s/591431/
588273	drawing sword soft desenvainando espada	marchelonia	http://creativecommons.org/publicdomain/zero/1.0/	7.3	wav	sword	https://freesound.org/s/588273/
588272	drawing sword desenvainando espada	marchelonia	http://creativecommons.org/publicdomain/zero/1.0/	6.8	wav	sword	https://freesound.org/s/588272/
844255	Sword Draw - Fast and Low	Foxfire-	http://creativecommons.org/publicdomain/zero/1.0/	1.0	wav	sword	https://freesound.org/s/844255/
326867	Sword_Clash (9).wav	JohnBuhr	http://creativecommons.org/publicdomain/zero/1.0/	1.5	wav	sword	https://freesound.org/s/326867/
326857	Sword_Clash (49).wav	JohnBuhr	http://creativecommons.org/publicdomain/zero/1.0/	0.8	wav	sword	https://freesound.org/s/326857/
568789	sword drawn.wav	Fenodyrie	http://creativecommons.org/publicdomain/zero/1.0/	9.3	wav	sword	https://freesound.org/s/568789/
844257	Sword Draw - Slow	Foxfire-	http://creativecommons.org/publicdomain/zero/1.0/	1.5	wav	sword	https://freesound.org/s/844257/
326796	Sword_Clash (47).wav	JohnBuhr	http://creativecommons.org/publicdomain/zero/1.0/	1.2	wav	sword	https://freesound.org/s/326796/
1465	10SWORD02.aif	lostchocolatelab	http://creativecommons.org/publicdomain/zero/1.0/	0.5	aiff	sword	https://freesound.org/s/1465/
342396	Swords Clash 2	Christopherderp	http://creativecommons.org/publicdomain/zero/1.0/	5.4	wav	sword	https://freesound.org/s/342396/
810925	sword unsheathing 1	Logicogonist	http://creativecommons.org/publicdomain/zero/1.0/	0.6	wav	sword	https://freesound.org/s/810925/
588277	Sword hitting a shield	marchelonia	http://creativecommons.org/publicdomain/zero/1.0/	29.4	wav	sword	https://freesound.org/s/588277/
361482	Single Sword Clash.MP3	FunWithSound	http://creativecommons.org/publicdomain/zero/1.0/	10.0	mp3	sword	https://freesound.org/s/361482/
22435	sword_B.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	2.3	wav	sword	https://freesound.org/s/22435/
22434	sword_A.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22434/
22433	sword_9.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22433/
22432	sword_8.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22432/
22431	sword_7.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	6.9	wav	sword	https://freesound.org/s/22431/
22430	sword_6.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22430/
22429	sword_5.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22429/
22428	sword_4.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22428/
22427	sword_3.wav	kibibu	http://creativecommons.org/publicdomain/zero/1.0/	4.6	wav	sword	https://freesound.org/s/22427/
