ten	tac_gia	license	dinh_dang	trang	cach_lay
annexation	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/annexation.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/annexation.svg
bad-gnome	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/bad-gnome.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/bad-gnome.svg
battleship	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/battleship.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/battleship.svg
boar-ensign	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/boar-ensign.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/boar-ensign.svg
carnyx	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/carnyx.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/carnyx.svg
carrier	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/carrier.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/carrier.svg
chariot	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/chariot.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/chariot.svg
cruiser	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/cruiser.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/cruiser.svg
dread	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/dread.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/dread.svg
dreadnought	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/dreadnought.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/dreadnought.svg
earth-worm	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/earth-worm.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/earth-worm.svg
flying-trout	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/flying-trout.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/flying-trout.svg
fomorian	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/fomorian.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/fomorian.svg
great-war-tank	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/great-war-tank.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/great-war-tank.svg
holy-oak	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/holy-oak.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/holy-oak.svg
iron-hulled-warship	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/iron-hulled-warship.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/iron-hulled-warship.svg
medusa-head	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/medusa-head.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/medusa-head.svg
nun-face	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/nun-face.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/nun-face.svg
occupy	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/occupy.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/occupy.svg
old-king	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/old-king.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/old-king.svg
oppidum	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/oppidum.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/oppidum.svg
polar-bear	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/polar-bear.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/polar-bear.svg
swordman	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/swordman.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/swordman.svg
swordwoman	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/swordwoman.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/swordwoman.svg
torc	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/torc.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/torc.svg
transparent-slime	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/transparent-slime.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/transparent-slime.svg
tree-face	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/tree-face.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/tree-face.svg
tumulus	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/tumulus.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/tumulus.svg
witch-face	cathelineau	CC-BY 3.0	svg,png	https://game-icons.net/1x1/cathelineau/witch-face.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/cathelineau/witch-face.svg
3d-glasses	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/3d-glasses.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/3d-glasses.svg
3d-hammer	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/3d-hammer.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/3d-hammer.svg
3d-meeple	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/3d-meeple.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/3d-meeple.svg
3d-stairs	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/3d-stairs.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/3d-stairs.svg
abacus	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/abacus.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/abacus.svg
abbot-meeple	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/abbot-meeple.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/abbot-meeple.svg
abdominal-armor	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/abdominal-armor.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/abdominal-armor.svg
achilles-heel	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/achilles-heel.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/achilles-heel.svg
acoustic-megaphone	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/acoustic-megaphone.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/acoustic-megaphone.svg
aero-bike	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aero-bike.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aero-bike.svg
africa	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/africa.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/africa.svg
agave	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/agave.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/agave.svg
ages	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ages.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ages.svg
air-balloon	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/air-balloon.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/air-balloon.svg
air-man	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/air-man.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/air-man.svg
airplane-arrival	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/airplane-arrival.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/airplane-arrival.svg
airplane-departure	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/airplane-departure.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/airplane-departure.svg
airtight-hatch	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/airtight-hatch.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/airtight-hatch.svg
akhet	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/akhet.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/akhet.svg
alarm-clock	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/alarm-clock.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/alarm-clock.svg
algae	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/algae.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/algae.svg
algeria	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/algeria.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/algeria.svg
alien-bug	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/alien-bug.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/alien-bug.svg
alien-egg	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/alien-egg.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/alien-egg.svg
all-seeing-eye	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/all-seeing-eye.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/all-seeing-eye.svg
almond	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/almond.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/almond.svg
amber-mosquito	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/amber-mosquito.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/amber-mosquito.svg
ambulance	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ambulance.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ambulance.svg
american-football-ball	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/american-football-ball.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/american-football-ball.svg
american-football-helmet	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/american-football-helmet.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/american-football-helmet.svg
american-football-player	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/american-football-player.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/american-football-player.svg
american-shield	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/american-shield.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/american-shield.svg
amphora	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/amphora.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/amphora.svg
ample-dress	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ample-dress.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ample-dress.svg
anarchy	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/anarchy.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/anarchy.svg
