goi	ten	tac_gia	license	gia	tag	cach_lay
kenney/kenney-game-assets	Kenney Game Assets All-in-1	kenney	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$19.95	2d	node tools/tai_itch.mjs kenney/kenney-game-assets  (o repo quoc-chien)
v3x3d/retro-lines	Free Platformer - Retro Lines - 16x16 Assets Tileset (CC0, Free)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/retro-lines  (o repo quoc-chien)
pixel-boy/ninja-adventure-asset-pack	Ninja Adventure - Asset Pack	pixel-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs pixel-boy/ninja-adventure-asset-pack  (o repo quoc-chien)
pixelfrog-assets/pixel-adventure-1	Pixel Adventure	pixelfrog-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs pixelfrog-assets/pixel-adventure-1  (o repo quoc-chien)
deadrevolver/pixel-prototype-player-sprites	Pixel Prototype Player Sprites	deadrevolver	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$9.99	2d	node tools/tai_itch.mjs deadrevolver/pixel-prototype-player-sprites  (o repo quoc-chien)
merchant-shade/16x16-mini-world-sprites	Free 16x16 Mini World Sprites	merchant-shade	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs merchant-shade/16x16-mini-world-sprites  (o repo quoc-chien)
pixelfrog-assets/kings-and-pigs	Kings and Pigs	pixelfrog-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs pixelfrog-assets/kings-and-pigs  (o repo quoc-chien)
screamingbrainstudios/tiny-texture-pack-2	Tiny Texture Pack 2	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/tiny-texture-pack-2  (o repo quoc-chien)
lynocs/texture-pack	Texture Pack by Lynocs	lynocs	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs lynocs/texture-pack  (o repo quoc-chien)
ansimuz/sunny-land-pixel-game-art	SunnyLand - Pixel Game Art Assets Pack	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/sunny-land-pixel-game-art  (o repo quoc-chien)
