ten	license	hoc_gi	repo	canh_bao
Widelands (Settlers II)	GPLv2+	Kinh te la mang luoi: hang chay tren duong, nguoi vac di lai	https://github.com/widelands/widelands	Do hoa nhieu license CC khac nhau - KHONG dung do hoa
Julius (Caesar III)	AGPL	He walker: toa nha phat ra nguoi di bo, di toi dau phuc vu toi do	https://github.com/bvschaik/julius	AGPL - doc de hieu kien truc, cam chep mot dong
Augustus (Caesar III)	AGPL	Nhu Julius, them tinh nang moi	https://github.com/Keriew/augustus	AGPL - nhu tren
Unknown Horizons (Anno 1602)	GPLv2	Dan co bac: du nhu cau thi len bac, mo nha moi	https://github.com/unknown-horizons/unknown-horizons	GPL - cam chep code
Freeciv	GPL	Cay cong nghe hai tien de; trang thai ngoai giao chien/ngung ban/hoa/lien minh	https://github.com/freeciv/freeciv	GPL - cam chep code
OpenRA (Red Alert)	GPL	Giai tran bang bang: linh co loai giap, vu khi co loai dan	https://github.com/OpenRA/OpenRA	GPL - kiem lai phien ban truoc khi doc sau
0 A.D.	GPLv2 (do hoa CC-BY-SA)	AI may chia lop: kinh te / quan su / xay dung rieng	https://github.com/0ad/0ad	DO HOA CC-BY-SA - CAM DUNG, license lay sang ca du an
OpenTTD	GPLv2	Mang luoi van tai, luong hang, do thi tu moc	https://github.com/OpenTTD/OpenTTD	GPL - cam chep code
Endless Sky	GPLv3	Cay nhiem vu va kinh te thuong mai theo tuyen	https://github.com/endless-sky/endless-sky	GPL - cam chep code
Mindustry	GPLv3	Day chuyen san xuat noi tiep, thu tu cong doan	https://github.com/Anuken/Mindustry	GPL - cam chep code
