id	ten	tac_gia	license	so_tam	dinh_dang	tag	cach_lay
bHyQe5jzdiQ	Farm house	Poly by Google	CC-BY 3.0	2047	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
AQQ2g0YE2D	House interior	Gabriele Romagnoli	CC-BY 3.0	8022	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
75V_MLvKMqM	House	Poly by Google	CC-BY 3.0	439	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9UGOIbCy8C	house interiors	Gabriele Romagnoli	CC-BY 3.0	34091	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6PGyqELX8M-	House	Poly by Google	CC-BY 3.0	1272	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
BH2XHWUNmF	Fantasy House	Quaternius	CC0 1.0	5758	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
bnZkUs4qEdG	House with driveway	Poly by Google	CC-BY 3.0	2180	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
roqiHdrpgc	House	Quaternius	CC0 1.0	19530	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dtgO5dwwtkk	Apartment 2	Gabriele Romagnoli	CC-BY 3.0	7530	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
01lqee-dZAr	Apartment building	Poly by Google	CC-BY 3.0	2088	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
f7uccD5iyz0	Log cabin	Poly by Google	CC-BY 3.0	3334	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
YDGLLT0emC	Cottage	CreativeTrio	CC0 1.0	2094	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7O3e5ZO7ec_	Deaver's House	Nick Slough	CC-BY 3.0	11116	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
imVkxz7oZD	Town House	Quaternius	CC0 1.0	41780	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
RSwoYSLblu	House	Quaternius	CC0 1.0	3504	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
HeHDd2rTpX	House	Quaternius	CC0 1.0	28354	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2K3bGB-w2qa	Brit's House	Anonymous	CC-BY 3.0	18726	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
053kskrV4U_	Small House	Jarlan Perez	CC-BY 3.0	3800	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
AO4BeeUHLN	Fantasy Houses	burunduk	CC-BY 3.0	0	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
HTx7PZt6Zm	Cabin Shed	CreativeTrio	CC0 1.0	2745	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
sDQJBImZuw	Town House	Quaternius	CC0 1.0	11552	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
L7h0SjZX2K	House	Quaternius	CC0 1.0	1028	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4Ov0dW9f5Nf	House from "Life Support"	Danni Bittman	CC-BY 3.0	5682	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
oJJIRwv6Bo	House	Quaternius	CC0 1.0	2336	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7VSVwAg2T3	House	Kenney	CC0 1.0	381	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6ufSK2nQBc6	Chalet	Poly by Google	CC-BY 3.0	1477	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2oQgfhLT5xH	Plan	Kyrylo Chuyko	CC-BY 3.0	35756	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
gyjF60t7CG	Small Building	Kenney	CC0 1.0	694	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7IGvVkETcSt	House Interior	Alex Safayan	CC-BY 3.0	0	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
sGgL4Nt7I7	Two story house	Kenney	CC0 1.0	630	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
htvFgnVP4d	Two story house	Kenney	CC0 1.0	688	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
AVCS8jUd2l	Big Building	Quaternius	CC0 1.0	6976	glb	house	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ppwtREejXg	Large Building	Kenney	CC0 1.0	2364	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
yKo7F36Qk2	Large Building	Kenney	CC0 1.0	950	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dIsZyy2FUY-	Skyscraper	Poly by Google	CC-BY 3.0	414	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7zyZfQrt3ZP	Distant Building 03	Jarlan Perez	CC-BY 3.0	1660	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
sxXonOmtct	Large Building	Kenney	CC0 1.0	1388	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
