goi	ten	tac_gia	license	cach_lay
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	base	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	bench	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	box_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	box_B	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_A_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_B	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_B_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_C	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_C_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_D	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_D_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_E	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_E_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_F	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_F_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_G	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_G_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_H	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	building_H_withoutBase	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	bush	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	car_hatchback	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	car_police	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	car_sedan	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	car_stationwagon	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	car_taxi	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	dumpster	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	firehydrant	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_corner	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_corner_curved	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_junction	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_straight	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_straight_crossing	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	road_tsplit	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	streetlight	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	trafficlight_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	trafficlight_B	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	trafficlight_C	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	trash_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	trash_B	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx	watertower	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx (unity)	base	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx (unity)	bench	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx (unity)	box_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx (unity)	box_B	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
assets_source/city-builder-bits/KayKit_City_Builder_Bits_1.0_FREE/Assets/fbx (unity)	building_A	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
